CNN_classlist,all_train_cfg,mvco_northeastshelf_train_cfg,HAB_train_cfg,minimal_list_cfg,toy
Acanthoica_quattrospina,1,1,mix,mix,0
Alexandrium,1,Alexandrium,1,Dinophyceae,0
Alexandrium_catenella_chain,1,0,1,0,0
Alexandrium_catenella_dividing,1,Alexandrium,1,0,0
Alexandrium_catenella_doublet,1,Alexandrium,1,0,0
Alexandrium_catenella_fusing,1,Alexandrium,1,0,0
Alexandrium_catenella_infected,1,Alexandrium,1,0,0
Amphidinium,1,1,1,1,0
Amylax,1,0,1,0,0
Apedinella,1,1,mix,mix,0
Asterionellopsis_glacialis,1,1,1,1,0
Asterodinium,1,1,1,0,0
Bacillaria,1,1,1,0,0
Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,0
Balanion,1,1,1,Ciliate_mix,1
Biddulphia,1,1,1,0,0
Calciopappus,1,1,mix,flagellate,0
Calciosolenia_brasiliensis,1,1,1,0,0
Cerataulina_pelagica,1,1,1,Cerataulina_pelagica,0
Ceratium,1,1,1,1,0
Ceratium_furca,1,1,1,Ceratium,1
Ceratium_fusus,1,1,1,Ceratium,0
Ceratium_lineatum,1,1,1,Ceratium,0
Chaetoceros,1,1,1,1,0
Chaetoceros_curvusetus,1,1,Chaetoceros,Chaetoceros,0
Chaetoceros_danicus,1,1,Chaetoceros,Chaetoceros,0
Chaetoceros_didymus,1,1,Chaetoceros,Chaetoceros,0
Chaetoceros_didymus_external_flagellate,1,1,Chaetoceros,Chaetoceros,0
Chaetoceros_external_pennate,1,1,Chaetoceros,Chaetoceros,0
Chaetoceros_similis,1,1,Chaetoceros,Chaetoceros,0
Chaetoceros_subtilis,1,1,Chaetoceros,Chaetoceros,0
Chaetoceros_throndsenii,1,1,Chaetoceros,Chaetoceros,0
Chroomonas,1,1,mix,mix,0
Chrysochromulina,1,1,1,flagellate,0
Chrysochromulina_lanceolata,1,1,1,flagellate,0
Ciliate_mix,1,1,1,1,0
Coccolithophorid,1,1,1,0,0
Corethron_hystrix,1,1,1,1,1
Corymbellus,1,1,1,1,0
Coscinodiscus,1,1,1,Thalassiosira,0
Cylindrotheca,1,1,1,1,1
DELETES,0,0,0,0,0
Dactyliosolen_blavyanus,1,1,1,1,0
Dactyliosolen_fragilissimus,1,1,1,1,0
Delphineis,1,1,1,1,0
Dictyocha,1,1,1,1,0
Dictyocysta,1,1,1,0,0
Didinium,1,1,1,1,0
Dinobryon,1,1,1,1,0
Dinophyceae,1,1,1,1,0
Dinophysis,1,1,1,1,0
Dinophysis_acuminata_bleb,1,0,1,0,0
Dinophysis_acuminata_division,1,0,1,0,0
Dinophysis_acuminata_mating,1,0,1,0,0
Dinophysis_acuminata_singlet,1,1,1,Dinophysis,0
Dinophysis_norvegica,1,1,1,Dinophysis,0
Dinophysis_tripos,1,1,1,Dinophysis,0
Ditylum_brightwellii,1,1,1,1,1
Emiliania_huxleyi,1,1,1,1,0
Ephemera,1,1,1,1,0
Eucampia,1,1,1,1,0
Euglena,1,1,1,1,0
Euplotes_2_large,1,1,1,1,0
Euplotes_sp,1,1,1,1,0
Eutintinnus,1,1,1,1,0
Favella,1,1,1,1,0
Foraminifera,1,1,1,0,0
Gonyaulax,1,1,1,1,0
Guinardia_delicatula,1,1,Guinardia_delicatula,1,1
Guinardia_delicatula_external_parasite,1,1,Guinardia_delicatula,Guinardia_delicatula,0
Guinardia_delicatula_internal_parasite,1,1,Guinardia_delicatula,Guinardia_delicatula,0
Guinardia_flaccida,1,1,1,1,0
Guinardia_striata,1,1,1,1,0
Gyrodinium,1,1,1,1,0
Hemiaulus,1,1,1,1,0
Heterocapsa_rotundata,1,1,1,mix,0
Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,Dinophyceae,1
Heterocapsa_triquetra_doublet,1,0,1,0,0
Heterocapsa_triquetra_singlet_plan,Heterocapsa_triquetra,Heterocapsa_triquetra,Heterocapsa_triquetra,0,0
Heterocapsa_triquetra_singlet_section,1,0,1,Heterocapsa_triquetra,0
Karenia,1,Karenia,1,1,0
Karenia_brevis_dividing,1,0,1,Karenia,0
Karenia_brevis_singlet,1,Karenia,1,Karenia,0
Karenia_brevis_stress,1,0,1,Karenia,0
Karenia_mikimotoi,1,Karenia,1,Karenia,0
Katodinium_or_Torodinium,1,1,1,1,0
Laboea_strobila,1,1,1,1,0
Lauderia_annulata,1,1,1,0,0
Leegaardiella_ovalis,1,1,1,Ciliate_mix,0
Leptocylindrus,1,1,1,1,0
Leptocylindrus_mediterraneus,1,1,1,1,0
Licmophora,1,1,1,1,0
Lingulodinium_polyedrum,1,0,1,0,0
Margalefidinium_chain,1,Margalefidinium,1,1,0
Margalefidinium_dblt,1,Margalefidinium,1,Margalefidinium_chain,0
Margalefidinium_snglt,1,Margalefidinium,1,Margalefidinium_chain,0
Mesodinium,1,1,1,1,0
Nanoneis,1,1,1,1,0
Odontella,1,1,1,1,0
Ophiaster,1,1,1,1,0
Oxytoxum,1,1,1,1,0
Paralia_sulcata,1,1,1,1,0
Parvicorbicula_socialis,1,1,1,1,0
Phaeocystis,1,1,1,1,0
Pleuronema,1,1,1,1,0
Pleurosigma,1,1,1,1,1
Podolampas,1,1,1,0,0
Polykrikos,1,1,1,1,0
Prorocentrum,1,1,1,1,0
Prorocentrum_micans,1,1,1,Prorocentrum,0
Prorocentrum_triestinum,1,1,1,Prorocentrum,0
Proterythropsis_sp,1,1,1,Dinophyceae,0
Protoperidinium,1,1,1,Dinophyceae,0
Pseudo-nitzschia,1,1,1,1,0
Pseudochattonella_farcimen,1,1,1,1,0
Pyramimonas,1,1,mix,mix,0
Pyramimonas_longicauda,1,1,1,1,1
Pyramimonas_morphotype3,1,1,1,flagellate,0
Radiozoa,1,1,1,1,0
Rhabdosphaera,1,1,1,1,0
Rhizosolenia,1,1,1,1,0
Scrippsiella,1,1,1,Dinophyceae,0
Skeletonema,1,1,1,1,0
Stenosemella_pacifica,1,1,Tintinnida,Tintinnida,0
Stenosemella_sp1,1,1,Tintinnida,Tintinnida,0
Stephanopyxis,1,1,1,1,0
Strobilidium,1,1,Strombidium_sp1,Strombidium_sp1,0
Strobilidium_sp2,1,1,Strombidium_sp1,Strombidium_sp1,0
Strombidium_capitatum,1,1,Strombidium_sp1,Strombidium_sp1,0
Strombidium_conicum,1,1,Strombidium_sp1,Strombidium_sp1,0
Strombidium_inclinatum,1,1,Strombidium_sp1,Strombidium_sp1,0
Strombidium_oculatum,1,1,Strombidium_sp1,Strombidium_sp1,0
Strombidium_sp1,1,1,Strombidium_sp1,Strombidium_sp1,0
Strombidium_sp2,1,1,Strombidium_sp1,Strombidium_sp1,0
Strombidium_wulffi,1,1,Strombidium_sp1,Strombidium_sp1,0
Syracosphaera_pulchra,1,1,1,1,0
Thalassionema,1,1,1,1,0
Thalassiosira,1,1,1,1,0
Thalassiosira_external_detritus,1,1,1,1,0
Tiarina_fusus,1,1,1,1,0
Tintinnida,1,1,Tintinnida,1,0
Tintinnidium_mucicola,1,1,Tintinnida,Tintinnida,0
Tintinnopsis,1,1,Tintinnida,Tintinnida,0
Tontonia_appendiculariformis,1,1,1,Ciliate_mix,0
Tontonia_gracillima,1,1,1,Ciliate_mix,0
Vicicitus_globosus,1,1,1,1,0
Warnowia,1,1,1,Dinophyceae,0
amoeba,1,1,1,1,0
bad,1,1,1,0,0
bead,1,1,1,1,0
bubble,1,1,1,0,0
camera_spot,1,1,1,0,0
cryptophyta,1,1,mix,mix,1
detritus,1,1,1,1,0
detritus_clear,1,1,1,1,0
fecal_pellet,1,1,1,1,0
flagellate,1,1,mix,1,0
flagellate_sp1,1,1,1,flagellate,0
flagellate_sp3,1,1,1,Dinobryon,0
mix,1,1,mix,1,0
mix_elongated,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,0
other,0,0,0,0,0
pennate,1,1,1,Bacillariophyceae,0
pennate_morphotype1,1,1,1,1,0
pollen,1,1,1,0,0
square_unknown,1,1,1,1,0
unknown1,1,1,1,1,0
unknown2,1,1,1,1,0
zooplankton,1,1,1,1,0
